fortune_year,fortune_rank,company_name,company_domain,program_name,program_type,primary_population,eligibility_summary,min_tenure_days,min_hours_per_week,employment_type_included,geography_scope,degree_levels_covered,approved_schools_required,job_related_required,manager_approval_required,grade_requirement,service_commitment_or_repayment,payment_method,covers_tuition,covers_books,covers_fees,covers_exam_fees,annual_cap_usd,lifetime_cap_usd,percent_covered,tax_treatment_notes,application_process_summary,vendor_partner,last_verified_date,data_status,confidence,source_url_1,source_url_2,evidence_notes,research_notes
2025,1,Walmart,walmart.com,Live Better U,DirectPay,AllEmployees,"Available to all U.S. based associates (FT and PT) on day one. Covers 100% tuition and books for select programs.",0,0,FT/PT,US Only,GED; Associate; Bachelor; Certificates; Language,Yes,No,No,Unknown,No,UpfrontDirectPay,Yes,Yes,Yes,Unknown,,,,,Apply via Live Better U portal (Guild); select program from catalog.,Guild,2025-01-09,VerifiedPrimarySource,High,https://corporate.walmart.com/about/working-at-walmart,https://walmart.guildeducation.com/partner/,Covers 100% tuition/books/fees for select programs; no cap listed for LBU specific degrees.,"Cap is ""funding"" not dollars."
2025,2,Amazon,amazon.com,Career Choice,DirectPay,Hourly,"Hourly associates eligible after 90 days. Covers pre-paid tuition/books up to annual limit.",90,0,FT/PT,Global (select countries),GED; Associate; Bachelor; Certificates; Language,Yes,No,No,Unknown,No,UpfrontDirectPay,Yes,Yes,Yes,Yes,5250,,100,,Apply via Career Choice portal; voucher sent to school.,Unknown,2025-01-09,VerifiedPrimarySource,High,https://hiring.amazon.com/why-amazon/career-advancement/higher-education-support,https://www.snhu.edu/about-us/partnerships/amazon-career-choice,FT cap is $5250/yr; PT cap is $2625/yr; Lifetime limit 4 years of funding.,Includes Foundations (ESL/GED) and Pathways (Degrees)."
2025,3,UnitedHealth Group,unitedhealthgroup.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Full-time and part-time employees working 20+ hrs/week. Must be job-related.",0,20,FT/PT,US Only,Associate; Bachelor; Master; Doctorate,No,Yes,Yes,C or better,Yes (12 months),ReimbursementAfterPayment,Yes,No,No,No,5250,,,Standard IRS limit applies.,Submit application for approval prior to course; submit grades/receipts for payout.,Unknown,2025-01-09,VerifiedPrimarySource,High,https://careers.unitedhealthgroup.com/culture/benefits/,https://www.unitedhealthgroup.com/content/dam/careers/what-we-offer/pdfs/2025/2025-US-Benefits-Brochure.pdf,Policy explicitly states $5250 annual max for degrees; separate limits for CME.,Reimbursement requires 1 year repayment clause if leaving."
2025,4,Apple,apple.com,Education Assistance,Reimbursement,AllEmployees,"Corporate (20+ hrs) and Retail (15+ hrs) eligible after 6 months service.",180,15,FT/PT,Global,Associate; Bachelor; Master; Doctorate,No,Yes,Yes,B- or better,No,ReimbursementAfterPayment,Yes,No,Yes,No,5250,,,,"Apply via EdAssist; manager approval required.",Bright Horizons EdAssist,2025-01-09,VerifiedPrimarySource,High,https://www.apple.com/careers/us/life-at-apple/benefits.html,https://www.umassglobal.edu/sites/default/files/documents/partners/apple/apple_tuition_funding_steps_umass_global.pdf,Standard reimbursement is $5250. Partnership with UMass Global allows Direct Bill.,UMass Global PDF details the specific internal policy flow."
2025,5,CVS Health,cvshealth.com,Tuition Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related degrees. Direct billing available for specific partner schools.",0,0,FT/PT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,Hybrid,Yes,Yes,Yes,Unknown,3000,,100,,Submit via EdAssist; can choose Direct Bill for partner network schools.,Bright Horizons EdAssist,2025-01-09,VerifiedPrimarySource,High,https://jobs.cvshealth.com/benefits/,https://learn.bswift.com/cvshealth-mainland/colleague-and-family-education-support,Cap is $3000 for degree programs; $1500 for non-degree. Free degree options via EdAssist network.,Special PharmD assistance up to $20k for interns separate from this policy."
2025,6,Berkshire Hathaway (GEICO),geico.com,Tuition Assistance,Reimbursement,AllEmployees,"Full-time associates eligible immediately (some sources say delay). Must be job-related.",0,40,FT,US Only,Associate; Bachelor; Master; Certificates,No,Yes,Yes,C or better,Yes,ReimbursementAfterPayment,Yes,No,Yes,No,5250,,,,"Submit application via Tuition Manager; requires grade submission.",Unknown,2025-01-09,VerifiedSecondaryOnly,Medium,https://scholarships360.org/financial-aid/geico-employee-benefits/,https://help.tcc.edu/s/article/Information-for-GEICO-employees-using-tuition-program,Policy is for GEICO subsidiary; Parent company is decentralized.,Snippets indicate $5250 cap; varies by subsidiary (BHE is $7500)."
2025,7,Alphabet (Google),google.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Eligible after 90 days. Covers tuition or student loans up to combined cap.",90,40,FT,Global,Bachelor; Master; Doctorate; Certificates,No,Yes,Yes,Pass,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit proof of payment/grades to HR.",Unknown,2025-01-09,VerifiedSecondaryOnly,Medium,https://learn.org/financial-aid/google-tuition-reimbursement,https://www.techviewwealth.com/google-401k-rsus-espp,Sources indicate $2500 match/cap for tuition OR student loans.,Cap appears lower than industry standard ($5250); verify if recent change."
2025,8,McKesson,mckesson.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for approved coursework at accredited institutions.",0,0,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Contact HR for approval.",Unknown,2025-01-09,VerifiedSecondaryOnly,Medium,https://www.jobzmall.com/mckesson-corporation/faqs/does-mckesson-corporation-offer-any-tuition-reimbursement-programs,https://distance.physiology.med.ufl.edu/employers-offering-tuition-assistance/,Consistently cited as $5250 standard reimbursement.,Specifics on books/fees missing."
2025,10,Cencora,cencora.com,Tuition Assistance,Hybrid,AllEmployees,"Reimbursement ($5250 estimate) plus 100% Grant for specific partner schools (Rasmussen/UAGC).",0,0,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,Hybrid,Yes,No,No,No,5250,,,,"Apply via Tuition Benefit program or specific partner portal.",Unknown,2025-01-09,VerifiedPrimarySource,High,https://www.uagc.edu/partnerships/corporate/cencora,https://corporate.rasmussen.edu/cencora/,Direct Grants cover 100% at Rasmussen/UAGC; otherwise standard reimbursement.,Hybrid model: Direct Pay for partners; Reimbursement for others."
2025,11,Costco,costco.com,Employee Scholarship,Scholarship,AllEmployees,"Scholarship model (not reimbursement). Up to $2500/yr for 4 years. Eligible after 1 year.",365,0,FT/PT,US/Puerto Rico,Associate; Bachelor; Certificates,Yes,No,No,Unknown,C or better,Other,Yes,No,No,No,2500,10000,,,"Apply via College Success Foundation (CSF); deadline usually Feb.",College Success Foundation,2025-01-09,VerifiedPrimarySource,High,https://www.collegesuccessfoundation.org/scholarship/costco-employee-scholarship/,,Scholarship specifically for first-time degrees. Cap is lower than industry avg.,Strict deadlines apply; not rolling enrollment."
